3880.52 --> 3881.75 | SPEAKER_00
3895.10 --> 3904.52 | SPEAKER_00
3903.25 --> 3919.27 | SPEAKER_02
3917.16 --> 3928.77 | SPEAKER_00
3920.45 --> 3920.94 | SPEAKER_02
3926.61 --> 3934.91 | SPEAKER_02
3930.22 --> 3932.97 | SPEAKER_00
3934.86 --> 3947.21 | SPEAKER_00
3948.29 --> 3981.32 | SPEAKER_00
3964.49 --> 3966.30 | SPEAKER_02
3983.59 --> 3993.97 | SPEAKER_00
3989.03 --> 3990.92 | SPEAKER_02
3993.97 --> 4062.47 | SPEAKER_02
4007.52 --> 4010.63 | SPEAKER_00
4021.26 --> 4021.97 | SPEAKER_00
4049.31 --> 4052.04 | SPEAKER_00
4058.60 --> 4059.45 | SPEAKER_00
4062.48 --> 4081.71 | SPEAKER_00
4083.51 --> 4084.39 | SPEAKER_00
4085.20 --> 4099.04 | SPEAKER_00
4094.72 --> 4096.77 | SPEAKER_02
4099.04 --> 4102.44 | SPEAKER_02
4102.02 --> 4115.03 | SPEAKER_00
4110.92 --> 4110.98 | SPEAKER_02
4115.03 --> 4117.11 | SPEAKER_02
4118.05 --> 4145.88 | SPEAKER_02
4143.50 --> 4155.53 | SPEAKER_00
4155.53 --> 4193.05 | SPEAKER_02
4185.99 --> 4186.94 | SPEAKER_00
4193.05 --> 4211.22 | SPEAKER_00
4197.81 --> 4198.45 | SPEAKER_02
4212.40 --> 4222.16 | SPEAKER_00
4213.55 --> 4213.67 | SPEAKER_01
4223.37 --> 4233.68 | SPEAKER_00
4232.97 --> 4280.93 | SPEAKER_02
4247.62 --> 4248.48 | SPEAKER_00
4268.36 --> 4269.07 | SPEAKER_00
4270.27 --> 4271.48 | SPEAKER_00
4271.48 --> 4271.72 | SPEAKER_01
4274.32 --> 4274.45 | SPEAKER_00
4279.36 --> 4288.54 | SPEAKER_00
4287.97 --> 4293.23 | SPEAKER_02
4290.69 --> 4344.47 | SPEAKER_00
4299.04 --> 4299.87 | SPEAKER_02
4343.64 --> 4354.12 | SPEAKER_02
4355.69 --> 4360.95 | SPEAKER_02
4360.80 --> 4365.90 | SPEAKER_01
4366.00 --> 4369.47 | SPEAKER_00
4369.47 --> 4371.72 | SPEAKER_02
4370.40 --> 4370.67 | SPEAKER_00
4372.44 --> 4380.98 | SPEAKER_02
4383.04 --> 4415.98 | SPEAKER_02
4395.90 --> 4396.31 | SPEAKER_01
4415.98 --> 4433.63 | SPEAKER_00
4431.61 --> 4474.98 | SPEAKER_02
4437.11 --> 4438.04 | SPEAKER_00
4437.53 --> 4438.61 | SPEAKER_01
4446.39 --> 4448.15 | SPEAKER_00
4474.98 --> 4503.48 | SPEAKER_00
4500.05 --> 4502.37 | SPEAKER_02
4503.48 --> 4534.83 | SPEAKER_02
4513.23 --> 4514.62 | SPEAKER_01
4535.47 --> 4537.62 | SPEAKER_02
4538.04 --> 4544.54 | SPEAKER_00
4538.31 --> 4538.92 | SPEAKER_02
4543.08 --> 4557.48 | SPEAKER_02
4556.77 --> 4563.22 | SPEAKER_00
4562.29 --> 4562.59 | SPEAKER_01
4564.25 --> 4566.66 | SPEAKER_00
4567.92 --> 4569.98 | SPEAKER_00
4568.09 --> 4568.13 | SPEAKER_01
4568.13 --> 4579.77 | SPEAKER_02
4569.48 --> 4570.08 | SPEAKER_01
4575.84 --> 4585.36 | SPEAKER_00
4584.24 --> 4586.49 | SPEAKER_02
4586.49 --> 4588.85 | SPEAKER_00
4587.47 --> 4606.10 | SPEAKER_02
4606.72 --> 4612.56 | SPEAKER_02
4613.45 --> 4615.75 | SPEAKER_02
4616.69 --> 4619.70 | SPEAKER_02
4621.38 --> 4653.31 | SPEAKER_02
4637.82 --> 4638.24 | SPEAKER_00
4654.36 --> 4681.54 | SPEAKER_02
4659.67 --> 4660.97 | SPEAKER_01
4660.97 --> 4661.50 | SPEAKER_00
4673.93 --> 4674.98 | SPEAKER_00
4682.69 --> 4697.05 | SPEAKER_02
4697.96 --> 4728.98 | SPEAKER_02
4728.98 --> 4729.98 | SPEAKER_00
4729.98 --> 4745.65 | SPEAKER_02
4746.43 --> 4748.52 | SPEAKER_02
4749.84 --> 4762.95 | SPEAKER_02
4764.37 --> 4771.47 | SPEAKER_02
4771.47 --> 4786.96 | SPEAKER_00
4780.62 --> 4781.09 | SPEAKER_02
4787.81 --> 4828.47 | SPEAKER_00
4796.34 --> 4797.37 | SPEAKER_02
4828.47 --> 4830.82 | SPEAKER_02
4833.67 --> 4838.73 | SPEAKER_02
4839.38 --> 4841.76 | SPEAKER_02
4842.50 --> 4852.64 | SPEAKER_02
4853.50 --> 4857.94 | SPEAKER_02
4859.64 --> 4863.25 | SPEAKER_02
4865.48 --> 4871.47 | SPEAKER_02
4866.88 --> 4867.46 | SPEAKER_01
4870.85 --> 4873.82 | SPEAKER_00
4872.16 --> 4873.35 | SPEAKER_02
4872.97 --> 4873.97 | SPEAKER_01
4874.98 --> 4877.70 | SPEAKER_01
4875.10 --> 4878.51 | SPEAKER_02
4875.98 --> 4876.03 | SPEAKER_00
4877.70 --> 4878.95 | SPEAKER_00
4878.51 --> 4879.74 | SPEAKER_01
4880.42 --> 4886.52 | SPEAKER_00
4885.83 --> 4888.28 | SPEAKER_02
4889.14 --> 4902.44 | SPEAKER_02
4901.71 --> 4904.92 | SPEAKER_00
4903.55 --> 4914.03 | SPEAKER_02
4914.03 --> 4915.53 | SPEAKER_00
