1700.37 --> 1705.03 | SPEAKER_01
1705.70 --> 1705.81 | SPEAKER_02
1705.81 --> 1705.85 | SPEAKER_01
1705.85 --> 1705.87 | SPEAKER_02
1705.87 --> 1706.53 | SPEAKER_01
1707.24 --> 1709.59 | SPEAKER_01
1710.29 --> 1712.35 | SPEAKER_01
1712.35 --> 1714.18 | SPEAKER_02
1714.18 --> 1720.07 | SPEAKER_01
1720.42 --> 1722.61 | SPEAKER_02
1723.55 --> 1725.51 | SPEAKER_02
1725.51 --> 1730.05 | SPEAKER_01
1730.35 --> 1733.61 | SPEAKER_02
